Start_Timestamp,End_Timestamp,NCI,gNB,Duration_Minutes
2025-07-08 00:00:00,2025-07-08 00:30:00,357783981,1397593,30.0
2025-08-03 03:00:00,2025-08-03 03:30:00,358531243,1400512,30.0
