Start_Timestamp,End_Timestamp,NCI,gNB,Duration_Minutes
2025-06-10 00:00:00,2025-06-10 00:45:00,357783981,1397593,45.0
2025-06-10 01:15:00,2025-06-10 05:45:00,357783981,1397593,270.0
2025-06-11 00:00:00,2025-06-11 05:45:00,357783981,1397593,345.0
2025-06-12 00:00:00,2025-06-12 05:45:00,357783981,1397593,345.0
2025-06-13 00:15:00,2025-06-13 05:45:00,357783981,1397593,330.0
2025-06-15 01:30:00,2025-06-15 06:15:00,357783981,1397593,285.0
2025-06-16 01:00:00,2025-06-16 01:45:00,357783981,1397593,45.0
2025-06-16 02:15:00,2025-06-16 04:00:00,357783981,1397593,105.0
2025-06-16 04:30:00,2025-06-16 05:45:00,357783981,1397593,75.0
2025-06-17 00:00:00,2025-06-17 05:45:00,357783981,1397593,345.0
2025-06-18 00:00:00,2025-06-18 05:45:00,357783981,1397593,345.0
2025-06-19 00:00:00,2025-06-19 05:45:00,357783981,1397593,345.0
2025-06-20 00:00:00,2025-06-20 00:45:00,357783981,1397593,45.0
2025-06-20 01:15:00,2025-06-20 04:00:00,357783981,1397593,165.0
2025-06-20 04:30:00,2025-06-20 05:45:00,357783981,1397593,75.0
2025-06-22 01:30:00,2025-06-22 06:00:00,357783981,1397593,270.0
2025-06-23 01:00:00,2025-06-23 05:45:00,357783981,1397593,285.0
2025-06-24 00:00:00,2025-06-24 05:45:00,357783981,1397593,345.0
2025-06-25 00:15:00,2025-06-25 05:45:00,357783981,1397593,330.0
2025-06-26 00:15:00,2025-06-26 05:45:00,357783981,1397593,330.0
2025-06-27 00:15:00,2025-06-27 05:45:00,357783981,1397593,330.0
2025-06-29 01:00:00,2025-06-29 05:45:00,357783981,1397593,285.0
2025-06-30 00:00:00,2025-06-30 00:30:00,357783981,1397593,30.0
2025-06-30 01:00:00,2025-06-30 05:45:00,357783981,1397593,285.0
2025-07-01 00:15:00,2025-07-01 05:45:00,357783981,1397593,330.0
2025-07-02 00:00:00,2025-07-02 05:45:00,357783981,1397593,345.0
2025-07-03 00:00:00,2025-07-03 05:45:00,357783981,1397593,345.0
2025-07-04 00:15:00,2025-07-04 05:45:00,357783981,1397593,330.0
2025-07-06 01:30:00,2025-07-06 05:45:00,357783981,1397593,255.0
2025-07-07 00:00:00,2025-07-07 00:30:00,357783981,1397593,30.0
2025-07-07 01:00:00,2025-07-07 05:45:00,357783981,1397593,285.0
2025-07-08 00:00:00,2025-07-08 05:45:00,357783981,1397593,345.0
2025-07-09 00:00:00,2025-07-09 00:30:00,357783981,1397593,30.0
2025-07-09 01:00:00,2025-07-09 05:45:00,357783981,1397593,285.0
2025-07-10 00:00:00,2025-07-10 05:45:00,357783981,1397593,345.0
2025-07-11 00:00:00,2025-07-11 05:45:00,357783981,1397593,345.0
2025-07-13 01:15:00,2025-07-13 05:45:00,357783981,1397593,270.0
2025-07-14 00:00:00,2025-07-14 00:30:00,357783981,1397593,30.0
2025-07-14 01:00:00,2025-07-14 03:45:00,357783981,1397593,165.0
2025-07-14 04:30:00,2025-07-14 05:45:00,357783981,1397593,75.0
2025-07-15 00:00:00,2025-07-15 00:30:00,357783981,1397593,30.0
2025-07-15 01:00:00,2025-07-15 05:45:00,357783981,1397593,285.0
2025-07-16 00:00:00,2025-07-16 05:45:00,357783981,1397593,345.0
2025-07-17 00:00:00,2025-07-17 05:45:00,357783981,1397593,345.0
2025-07-18 00:00:00,2025-07-18 02:00:00,357783981,1397593,120.0
2025-07-18 02:30:00,2025-07-18 05:45:00,357783981,1397593,195.0
2025-07-20 01:15:00,2025-07-20 05:45:00,357783981,1397593,270.0
2025-07-21 00:00:00,2025-07-21 00:30:00,357783981,1397593,30.0
2025-07-21 01:00:00,2025-07-21 03:45:00,357783981,1397593,165.0
2025-07-21 04:30:00,2025-07-21 05:45:00,357783981,1397593,75.0
2025-07-22 00:00:00,2025-07-22 00:30:00,357783981,1397593,30.0
2025-07-22 01:00:00,2025-07-22 05:45:00,357783981,1397593,285.0
2025-07-23 00:00:00,2025-07-23 05:45:00,357783981,1397593,345.0
2025-07-24 00:00:00,2025-07-24 05:45:00,357783981,1397593,345.0
2025-07-25 00:00:00,2025-07-25 05:45:00,357783981,1397593,345.0
2025-07-27 01:15:00,2025-07-27 06:15:00,357783981,1397593,300.0
2025-07-28 01:00:00,2025-07-28 03:00:00,357783981,1397593,120.0
2025-07-28 03:30:00,2025-07-28 04:00:00,357783981,1397593,30.0
2025-07-28 04:30:00,2025-07-28 05:45:00,357783981,1397593,75.0
2025-07-29 00:00:00,2025-07-29 05:45:00,357783981,1397593,345.0
2025-07-30 00:15:00,2025-07-30 05:45:00,357783981,1397593,330.0
2025-07-31 00:00:00,2025-07-31 05:45:00,357783981,1397593,345.0
2025-08-01 00:00:00,2025-08-01 02:00:00,357783981,1397593,120.0
2025-08-01 02:30:00,2025-08-01 05:45:00,357783981,1397593,195.0
2025-08-03 01:15:00,2025-08-03 06:15:00,357783981,1397593,300.0
2025-08-04 01:00:00,2025-08-04 04:00:00,357783981,1397593,180.0
2025-08-04 04:45:00,2025-08-04 05:45:00,357783981,1397593,60.0
2025-08-05 00:00:00,2025-08-05 05:45:00,357783981,1397593,345.0
2025-08-06 00:15:00,2025-08-06 05:45:00,357783981,1397593,330.0
2025-08-07 00:00:00,2025-08-07 05:45:00,357783981,1397593,345.0
2025-08-08 00:00:00,2025-08-08 05:45:00,357783981,1397593,345.0
2025-08-10 01:00:00,2025-08-10 05:45:00,357783981,1397593,285.0
2025-08-11 01:00:00,2025-08-11 02:00:00,357783981,1397593,60.0
2025-08-11 02:30:00,2025-08-11 05:45:00,357783981,1397593,195.0
2025-08-12 00:00:00,2025-08-12 05:45:00,357783981,1397593,345.0
2025-08-13 00:00:00,2025-08-13 04:15:00,357783981,1397593,255.0
2025-08-13 04:45:00,2025-08-13 05:45:00,357783981,1397593,60.0
2025-08-14 00:00:00,2025-08-14 05:45:00,357783981,1397593,345.0
2025-08-15 00:15:00,2025-08-15 05:45:00,357783981,1397593,330.0
2025-08-17 01:45:00,2025-08-17 05:45:00,357783981,1397593,240.0
2025-08-18 01:00:00,2025-08-18 04:00:00,357783981,1397593,180.0
2025-08-18 04:45:00,2025-08-18 05:45:00,357783981,1397593,60.0
2025-08-19 00:00:00,2025-08-19 05:45:00,357783981,1397593,345.0
2025-08-20 00:00:00,2025-08-20 00:30:00,357783981,1397593,30.0
2025-08-20 01:00:00,2025-08-20 05:45:00,357783981,1397593,285.0
2025-08-21 00:00:00,2025-08-21 05:45:00,357783981,1397593,345.0
2025-08-22 00:00:00,2025-08-22 05:45:00,357783981,1397593,345.0
2025-08-24 01:45:00,2025-08-24 05:30:00,357783981,1397593,225.0
2025-08-25 01:00:00,2025-08-25 04:00:00,357783981,1397593,180.0
2025-08-25 04:30:00,2025-08-25 05:45:00,357783981,1397593,75.0
2025-08-26 00:00:00,2025-08-26 05:45:00,357783981,1397593,345.0
2025-08-27 00:00:00,2025-08-27 00:30:00,357783981,1397593,30.0
2025-08-27 01:00:00,2025-08-27 05:45:00,357783981,1397593,285.0
2025-08-28 00:00:00,2025-08-28 05:45:00,357783981,1397593,345.0
2025-08-29 00:00:00,2025-08-29 05:45:00,357783981,1397593,345.0
2025-08-31 01:45:00,2025-08-31 06:15:00,357783981,1397593,270.0
2025-09-01 01:00:00,2025-09-01 04:00:00,357783981,1397593,180.0
2025-09-01 04:30:00,2025-09-01 05:45:00,357783981,1397593,75.0
2025-09-02 00:00:00,2025-09-02 00:30:00,357783981,1397593,30.0
2025-09-02 01:00:00,2025-09-02 05:45:00,357783981,1397593,285.0
2025-09-03 01:00:00,2025-09-03 05:45:00,357783981,1397593,285.0
2025-09-04 00:00:00,2025-09-04 05:45:00,357783981,1397593,345.0
2025-09-05 00:00:00,2025-09-05 05:45:00,357783981,1397593,345.0
2025-09-07 02:00:00,2025-09-07 05:45:00,357783981,1397593,225.0
2025-09-08 01:00:00,2025-09-08 03:15:00,357783981,1397593,135.0
2025-09-08 03:45:00,2025-09-08 05:45:00,357783981,1397593,120.0
2025-09-09 00:00:00,2025-09-09 05:45:00,357783981,1397593,345.0
2025-09-10 00:00:00,2025-09-10 00:30:00,357783981,1397593,30.0
2025-09-10 01:00:00,2025-09-10 05:45:00,357783981,1397593,285.0
2025-09-11 00:15:00,2025-09-11 05:45:00,357783981,1397593,330.0
2025-09-12 00:00:00,2025-09-12 05:45:00,357783981,1397593,345.0
2025-09-14 01:45:00,2025-09-14 05:45:00,357783981,1397593,240.0
2025-09-15 01:00:00,2025-09-15 04:15:00,357783981,1397593,195.0
2025-09-15 04:45:00,2025-09-15 05:45:00,357783981,1397593,60.0
2025-09-16 00:00:00,2025-09-16 05:45:00,357783981,1397593,345.0
2025-09-17 01:00:00,2025-09-17 05:45:00,357783981,1397593,285.0
2025-09-18 00:00:00,2025-09-18 05:45:00,357783981,1397593,345.0
2025-09-19 00:00:00,2025-09-19 05:45:00,357783981,1397593,345.0
2025-09-21 01:00:00,2025-09-21 06:00:00,357783981,1397593,300.0
2025-09-22 01:00:00,2025-09-22 02:45:00,357783981,1397593,105.0
2025-09-22 03:15:00,2025-09-22 04:15:00,357783981,1397593,60.0
2025-09-22 04:45:00,2025-09-22 05:45:00,357783981,1397593,60.0
2025-09-23 00:00:00,2025-09-23 00:30:00,357783981,1397593,30.0
2025-09-23 01:00:00,2025-09-23 05:45:00,357783981,1397593,285.0
2025-09-24 00:00:00,2025-09-24 04:00:00,357783981,1397593,240.0
2025-09-24 04:30:00,2025-09-24 05:45:00,357783981,1397593,75.0
2025-09-25 00:00:00,2025-09-25 05:45:00,357783981,1397593,345.0
2025-09-26 00:00:00,2025-09-26 05:45:00,357783981,1397593,345.0
2025-09-28 01:45:00,2025-09-28 05:45:00,357783981,1397593,240.0
2025-09-29 01:00:00,2025-09-29 04:15:00,357783981,1397593,195.0
2025-09-29 05:00:00,2025-09-29 05:45:00,357783981,1397593,45.0
2025-09-30 00:00:00,2025-09-30 05:45:00,357783981,1397593,345.0
2025-10-01 00:00:00,2025-10-01 04:00:00,357783981,1397593,240.0
2025-10-01 04:30:00,2025-10-01 05:45:00,357783981,1397593,75.0
2025-10-02 00:00:00,2025-10-02 05:45:00,357783981,1397593,345.0
2025-10-03 00:00:00,2025-10-03 05:45:00,357783981,1397593,345.0
2025-10-05 01:45:00,2025-10-05 05:45:00,357783981,1397593,240.0
2025-10-06 01:00:00,2025-10-06 05:45:00,357783981,1397593,285.0
2025-10-07 00:00:00,2025-10-07 04:00:00,357783981,1397593,240.0
2025-10-07 04:30:00,2025-10-07 05:45:00,357783981,1397593,75.0
2025-10-08 00:00:00,2025-10-08 00:30:00,357783981,1397593,30.0
2025-10-08 01:00:00,2025-10-08 05:45:00,357783981,1397593,285.0
2025-10-09 00:00:00,2025-10-09 05:45:00,357783981,1397593,345.0
2025-10-10 00:00:00,2025-10-10 05:45:00,357783981,1397593,345.0
2025-10-12 01:45:00,2025-10-12 05:45:00,357783981,1397593,240.0
2025-10-13 01:00:00,2025-10-13 05:45:00,357783981,1397593,285.0
2025-10-14 00:00:00,2025-10-14 00:30:00,357783981,1397593,30.0
2025-10-14 01:00:00,2025-10-14 04:00:00,357783981,1397593,180.0
2025-10-14 04:30:00,2025-10-14 05:45:00,357783981,1397593,75.0
2025-10-15 00:00:00,2025-10-15 00:30:00,357783981,1397593,30.0
2025-10-15 01:00:00,2025-10-15 05:45:00,357783981,1397593,285.0
2025-10-16 00:00:00,2025-10-16 05:45:00,357783981,1397593,345.0
2025-10-17 00:00:00,2025-10-17 05:45:00,357783981,1397593,345.0
2025-10-19 01:45:00,2025-10-19 05:45:00,357783981,1397593,240.0
2025-10-20 01:00:00,2025-10-20 05:45:00,357783981,1397593,285.0
2025-10-21 00:00:00,2025-10-21 00:30:00,357783981,1397593,30.0
2025-10-21 01:00:00,2025-10-21 04:00:00,357783981,1397593,180.0
2025-10-21 04:30:00,2025-10-21 05:45:00,357783981,1397593,75.0
2025-10-22 00:15:00,2025-10-22 05:45:00,357783981,1397593,330.0
2025-10-23 00:00:00,2025-10-23 05:45:00,357783981,1397593,345.0
2025-10-24 00:00:00,2025-10-24 05:45:00,357783981,1397593,345.0
2025-10-27 01:00:00,2025-10-27 04:30:00,357783981,1397593,210.0
2025-10-27 05:00:00,2025-10-27 05:45:00,357783981,1397593,45.0
2025-10-28 00:00:00,2025-10-28 05:45:00,357783981,1397593,345.0
2025-10-29 00:00:00,2025-10-29 05:45:00,357783981,1397593,345.0
2025-10-30 00:00:00,2025-10-30 05:45:00,357783981,1397593,345.0
2025-10-31 00:00:00,2025-10-31 05:45:00,357783981,1397593,345.0
2025-05-02 01:00:00,2025-05-02 01:45:00,357783979,1397593,45.0
2025-05-02 02:30:00,2025-05-02 05:45:00,357783979,1397593,195.0
2025-05-03 01:00:00,2025-05-03 01:45:00,357783979,1397593,45.0
2025-05-03 02:45:00,2025-05-03 03:45:00,357783979,1397593,60.0
2025-05-03 04:15:00,2025-05-03 05:45:00,357783979,1397593,90.0
2025-05-04 01:30:00,2025-05-04 02:15:00,357783979,1397593,45.0
2025-05-04 02:45:00,2025-05-04 05:45:00,357783979,1397593,180.0
2025-05-05 01:15:00,2025-05-05 01:45:00,357783979,1397593,30.0
2025-05-05 04:15:00,2025-05-05 05:00:00,357783979,1397593,45.0
2025-05-05 05:30:00,2025-05-05 06:00:00,357783979,1397593,30.0
2025-05-06 01:00:00,2025-05-06 01:45:00,357783979,1397593,45.0
2025-05-06 02:15:00,2025-05-06 02:45:00,357783979,1397593,30.0
2025-05-06 03:15:00,2025-05-06 03:45:00,357783979,1397593,30.0
2025-05-06 04:15:00,2025-05-06 04:45:00,357783979,1397593,30.0
2025-05-06 05:15:00,2025-05-06 05:45:00,357783979,1397593,30.0
2025-05-07 00:00:00,2025-05-07 00:45:00,357783979,1397593,45.0
2025-05-07 02:15:00,2025-05-07 02:45:00,357783979,1397593,30.0
2025-05-07 03:15:00,2025-05-07 03:45:00,357783979,1397593,30.0
2025-05-07 04:15:00,2025-05-07 04:45:00,357783979,1397593,30.0
2025-05-07 05:15:00,2025-05-07 05:45:00,357783979,1397593,30.0
2025-05-08 00:15:00,2025-05-08 00:45:00,357783979,1397593,30.0
2025-05-08 01:15:00,2025-05-08 01:45:00,357783979,1397593,30.0
2025-05-08 02:15:00,2025-05-08 03:45:00,357783979,1397593,90.0
2025-05-08 04:15:00,2025-05-08 05:00:00,357783979,1397593,45.0
2025-05-08 05:30:00,2025-05-08 06:00:00,357783979,1397593,30.0
2025-05-09 01:00:00,2025-05-09 01:45:00,357783979,1397593,45.0
2025-05-09 02:15:00,2025-05-09 03:45:00,357783979,1397593,90.0
2025-05-09 04:15:00,2025-05-09 05:00:00,357783979,1397593,45.0
2025-05-09 05:30:00,2025-05-09 06:00:00,357783979,1397593,30.0
2025-05-10 01:30:00,2025-05-10 02:00:00,357783979,1397593,30.0
2025-05-10 02:45:00,2025-05-10 04:45:00,357783979,1397593,120.0
2025-05-10 05:15:00,2025-05-10 05:45:00,357783979,1397593,30.0
2025-05-10 06:15:00,2025-05-10 06:45:00,357783979,1397593,30.0
2025-05-11 01:30:00,2025-05-11 02:15:00,357783979,1397593,45.0
2025-05-11 03:15:00,2025-05-11 06:00:00,357783979,1397593,165.0
2025-05-12 01:15:00,2025-05-12 01:45:00,357783979,1397593,30.0
2025-05-12 03:15:00,2025-05-12 04:00:00,357783979,1397593,45.0
2025-05-12 05:15:00,2025-05-12 05:45:00,357783979,1397593,30.0
